total_congestion,std_dev,beta,reward
60.0,5.2440443,0.9,-64.71964
67.0,6.533567,0.9,-72.88021
73.0,1.0897248,0.9,-73.98075
73.0,5.8896093,0.9,-78.30065
64.0,14.035668,0.9,-76.6321
64.0,3.535534,0.9,-67.181984
98.0,11.146749,0.9,-108.032074
79.0,1.299038,0.9,-80.169136
82.0,8.616844,0.9,-89.75516
89.0,0.8291562,0.9,-89.74624
80.0,8.746428,0.9,-87.87179
80.0,2.9154758,0.9,-82.62393
80.0,4.6368093,0.9,-84.17313
94.0,2.1794496,0.9,-95.9615
108.0,10.559356,0.9,-117.50342
91.0,19.765816,0.9,-608.78925
94.0,23.005434,0.9,-614.7049
81.0,3.344772,0.9,-84.01029
126.0,13.238202,0.9,-637.91437
113.0,2.772634,0.9,-115.49537
145.0,5.2618914,0.9,-149.7357
152.0,10.0,0.9,-161.0
108.0,1.8708287,0.9,-109.68375
141.0,6.3786755,0.9,-146.74081
9.0,1.7853571,0.9,-10.606821
12.0,2.1213202,0.9,-13.909188
23.0,5.7608595,0.9,-28.184772
19.0,0.4330127,0.9,-19.389711
29.0,2.384848,0.9,-31.146362
31.0,7.2586155,0.9,-37.532753
24.0,2.5495098,0.9,-26.29456
42.0,8.645808,0.9,-49.781227
54.0,11.146749,0.9,-64.032074
60.0,14.611639,0.9,-573.15045
39.0,2.772634,0.9,-41.49537
51.0,9.781999,0.9,-59.8038
34.0,0.5,0.9,-34.45
58.0,1.8027756,0.9,-59.622498
55.0,5.3091903,0.9,-59.77827
62.0,13.124405,0.9,-73.811966
72.0,15.732133,0.9,-586.15894
52.0,1.5811388,0.9,-53.423023
76.0,2.236068,0.9,-78.01246
72.0,6.519202,0.9,-77.86728
73.0,15.911866,0.9,-587.3207
84.0,20.012497,0.9,-602.0112
66.0,4.1533117,0.9,-69.73798
89.0,5.9319053,0.9,-94.338715
91.0,10.825317,0.9,-100.74278
88.0,20.530466,0.9,-606.4774
89.0,4.81534,0.9,-93.33381
85.0,2.4874685,0.9,-87.23872
75.0,7.4624057,0.9,-81.71616
49.0,2.2776084,0.9,-51.049847
85.0,3.112475,0.9,-87.80122
85.0,12.437343,0.9,-96.19361
62.0,2.291288,0.9,-64.06216
127.0,9.256754,0.9,-135.33109
109.0,23.274181,0.9,-629.9468
114.0,26.509432,0.9,-637.8585
